level,sample_id,scenario_type,outcome,rank_movement,baseline_rank,perturbed_rank,baseline_hit_turn,perturbed_hit_turn
0,public_0001,buying,unchanged,unchanged,3,3,1,1
0,public_0002,intent_override,unchanged,unchanged,1,1,6,6
0,public_0003,intent_override,unchanged,unchanged,1,1,3,3
0,public_0004,intent_override,unchanged,unchanged,1,1,3,3
0,public_0005,buying,unchanged,unchanged,1,1,2,2
0,public_0006,browsing,unchanged,unchanged,6,6,2,2
0,public_0007,browsing,unchanged,unchanged,1,1,2,2
0,public_0008,buying,unchanged,unchanged,1,1,2,2
0,public_0009,buying,unchanged,unchanged,1,1,2,2
0,public_0010,buying,unchanged,unchanged,5,5,1,1
0,public_0011,browsing,unchanged,unchanged,1,1,3,3
0,public_0012,browsing,unchanged,unchanged,1,1,3,3
0,public_0013,intent_override,unchanged,unchanged,1,1,4,4
0,public_0014,browsing,unchanged,unchanged,1,1,2,2
0,public_0015,browsing,unchanged,unchanged,2,2,2,2
0,public_0016,browsing,unchanged,unchanged,1,1,3,3
0,public_0017,buying,unchanged,unchanged,10,10,2,2
0,public_0018,buying,unchanged,unchanged,3,3,1,1
0,public_0019,browsing,unchanged,unchanged,1,1,2,2
0,public_0020,buying,unchanged,unchanged,,,,
0,public_0021,browsing,unchanged,unchanged,1,1,2,2
0,public_0022,buying,unchanged,unchanged,1,1,2,2
0,public_0023,intent_override,unchanged,unchanged,1,1,4,4
0,public_0024,buying,unchanged,unchanged,8,8,1,1
0,public_0025,browsing,unchanged,unchanged,1,1,2,2
0,public_0026,buying,unchanged,unchanged,3,3,2,2
0,public_0027,buying,unchanged,unchanged,1,1,2,2
0,public_0028,buying,unchanged,unchanged,3,3,3,3
0,public_0029,buying,unchanged,unchanged,1,1,2,2
0,public_0030,buying,unchanged,unchanged,1,1,2,2
0,public_0031,buying,unchanged,unchanged,2,2,2,2
0,public_0032,buying,unchanged,unchanged,5,5,2,2
0,public_0033,browsing,unchanged,unchanged,7,7,2,2
0,public_0034,intent_override,unchanged,unchanged,1,1,4,4
0,public_0035,boundary,unchanged,unchanged,7,7,3,3
0,public_0036,browsing,unchanged,unchanged,5,5,2,2
0,public_0037,browsing,unchanged,unchanged,7,7,2,2
0,public_0038,intent_override,unchanged,unchanged,1,1,4,4
0,public_0039,browsing,unchanged,unchanged,1,1,2,2
0,public_0040,browsing,unchanged,unchanged,2,2,3,3
0,public_0041,boundary,unchanged,unchanged,1,1,3,3
0,public_0042,buying,unchanged,unchanged,1,1,2,2
0,public_0043,browsing,unchanged,unchanged,2,2,2,2
0,public_0044,buying,unchanged,unchanged,5,5,1,1
0,public_0045,buying,unchanged,unchanged,1,1,2,2
0,public_0046,intent_override,unchanged,unchanged,1,1,4,4
0,public_0047,browsing,unchanged,unchanged,1,1,2,2
0,public_0048,browsing,unchanged,unchanged,4,4,2,2
0,public_0049,browsing,unchanged,unchanged,5,5,6,6
0,public_0050,boundary,unchanged,unchanged,6,6,3,3
0,public_0051,browsing,unchanged,unchanged,1,1,2,2
0,public_0052,intent_override,unchanged,unchanged,7,7,3,3
0,public_0053,buying,unchanged,unchanged,9,9,1,1
0,public_0054,buying,unchanged,unchanged,4,4,1,1
0,public_0055,browsing,unchanged,unchanged,1,1,2,2
0,public_0056,browsing,unchanged,unchanged,1,1,2,2
0,public_0057,browsing,unchanged,unchanged,8,8,2,2
0,public_0058,buying,unchanged,unchanged,9,9,2,2
0,public_0059,browsing,unchanged,unchanged,1,1,2,2
0,public_0060,browsing,unchanged,unchanged,1,1,2,2
0,public_0061,buying,unchanged,unchanged,1,1,1,1
0,public_0062,browsing,unchanged,unchanged,2,2,2,2
0,public_0063,browsing,unchanged,unchanged,1,1,2,2
0,public_0064,intent_override,unchanged,unchanged,1,1,4,4
0,public_0065,buying,unchanged,unchanged,1,1,3,3
0,public_0066,buying,unchanged,unchanged,1,1,2,2
0,public_0067,buying,unchanged,unchanged,10,10,1,1
